codec,k,n,trace,assemblies,seed,schedule,gap_ms,arrivals,rank,valid,matrix_ms,encode_ms,root_ms,proof_ms,elimination_ms,backsub_ms,reencode_root_ms,elimination_before_last_ms,tail_ms,completion_ms,array_storage_bound_bytes,process_peak_rss_kib,warmup
rs16,8,10,random,1,103,batch,1,8,8,1,0.003326,0.248987,0.28786,0.283402,0.20248,0.243447,0.613831,0,1.09561,8.09561,2883872,24016,0
rs16,8,10,random,1,103,online,0,8,8,1,0.003326,0.248987,0.28786,0.283402,0.20248,0.243447,0.613831,0,1.34316,1.34316,2883872,24016,0
rs16,8,10,random,1,103,online,0.1,8,8,1,0.003326,0.248987,0.28786,0.283402,0.20248,0.243447,0.613831,0.089708,1.00591,1.70591,2883872,24016,0
rs16,8,10,random,1,103,online,1,8,8,1,0.003326,0.248987,0.28786,0.283402,0.20248,0.243447,0.613831,0.089708,1.00591,8.00591,2883872,24016,0
rs16,8,10,random,1,103,online_eager,0,8,8,1,0.003326,0.248987,0.28786,0.280818,0.287448,3e-05,0.617668,0,1.18596,1.18596,2883872,24016,0
rs16,8,10,random,1,103,online_eager,0.1,8,8,1,0.003326,0.248987,0.28786,0.280818,0.287448,3e-05,0.617668,0.239098,0.700914,1.40091,2883872,24016,0
rs16,8,10,random,1,103,online_eager,1,8,8,1,0.003326,0.248987,0.28786,0.280818,0.287448,3e-05,0.617668,0.239098,0.700914,7.70091,2883872,24016,0
rlnc16,8,10,random,1,100,batch,0,8,8,1,0.001453,0.344186,0.83683,0.319671,0.105998,0.228749,0.669657,0,1.32407,1.32407,2883872,24016,1
rlnc16,8,10,random,1,100,batch,0.1,8,8,1,0.001453,0.344186,0.83683,0.319671,0.105998,0.228749,0.669657,0,1.04513,1.74513,2883872,24016,1
rlnc16,8,10,random,1,100,batch,1,8,8,1,0.001453,0.344186,0.83683,0.319671,0.105998,0.228749,0.669657,0,1.04513,8.04513,2883872,24016,1
rlnc16,8,10,random,1,100,online,0,8,8,1,0.001453,0.344186,0.83683,0.319671,0.105998,0.228749,0.669657,0,1.32407,1.32407,2883872,24016,1
rlnc16,8,10,random,1,100,online,0.1,8,8,1,0.001453,0.344186,0.83683,0.319671,0.105998,0.228749,0.669657,0.099198,0.945933,1.64593,2883872,24016,1
rlnc16,8,10,random,1,100,online,1,8,8,1,0.001453,0.344186,0.83683,0.319671,0.105998,0.228749,0.669657,0.105397,0.939734,7.93973,2883872,24016,1
rlnc16,8,10,random,1,100,online_eager,0,8,8,1,0.001453,0.344186,0.83683,0.277471,0.166322,5e-05,0.615655,0,1.0595,1.0595,2883872,24016,1
rlnc16,8,10,random,1,100,online_eager,0.1,8,8,1,0.001453,0.344186,0.83683,0.277471,0.166322,5e-05,0.615655,0.150943,0.66592,1.36592,2883872,24016,1
rlnc16,8,10,random,1,100,online_eager,1,8,8,1,0.001453,0.344186,0.83683,0.277471,0.166322,5e-05,0.615655,0.150943,0.66592,7.66592,2883872,24016,1
rlnc16,8,10,random,1,101,batch,0,8,8,1,0.000691,0.248727,0.294061,0.278673,0.101771,0.159358,0.616847,0,1.15665,1.15665,2883872,24016,0
rlnc16,8,10,random,1,101,batch,0.1,8,8,1,0.000691,0.248727,0.294061,0.278673,0.101771,0.159358,0.616847,0,0.914254,1.61425,2883872,24016,0
rlnc16,8,10,random,1,101,batch,1,8,8,1,0.000691,0.248727,0.294061,0.278673,0.101771,0.159358,0.616847,0,0.914254,7.91425,2883872,24016,0
rlnc16,8,10,random,1,101,online,0,8,8,1,0.000691,0.248727,0.294061,0.278673,0.101771,0.159358,0.616847,0,1.15665,1.15665,2883872,24016,0
rlnc16,8,10,random,1,101,online,0.1,8,8,1,0.000691,0.248727,0.294061,0.278673,0.101771,0.159358,0.616847,0.023254,0.891,1.591,2883872,24016,0
rlnc16,8,10,random,1,101,online,1,8,8,1,0.000691,0.248727,0.294061,0.278673,0.101771,0.159358,0.616847,0.023254,0.891,7.891,2883872,24016,0
rlnc16,8,10,random,1,101,online_eager,0,8,8,1,0.000691,0.248727,0.294061,0.276098,0.256793,3e-05,0.609874,0,1.1428,1.1428,2883872,24016,0
rlnc16,8,10,random,1,101,online_eager,0.1,8,8,1,0.000691,0.248727,0.294061,0.276098,0.256793,3e-05,0.609874,0.117251,0.785344,1.48534,2883872,24016,0
rlnc16,8,10,random,1,101,online_eager,1,8,8,1,0.000691,0.248727,0.294061,0.276098,0.256793,3e-05,0.609874,0.117251,0.785344,7.78534,2883872,24016,0
rlnc16,8,10,random,1,102,batch,0,8,8,1,0.000661,0.249368,0.294172,0.27753,0.105907,0.232136,0.617739,0,1.23331,1.23331,2883872,24016,0
rlnc16,8,10,random,1,102,batch,0.1,8,8,1,0.000661,0.249368,0.294172,0.27753,0.105907,0.232136,0.617739,0,0.990678,1.69068,2883872,24016,0
rlnc16,8,10,random,1,102,batch,1,8,8,1,0.000661,0.249368,0.294172,0.27753,0.105907,0.232136,0.617739,0,0.990678,7.99068,2883872,24016,0
rlnc16,8,10,random,1,102,online,0,8,8,1,0.000661,0.249368,0.294172,0.27753,0.105907,0.232136,0.617739,0,1.23331,1.23331,2883872,24016,0
rlnc16,8,10,random,1,102,online,0.1,8,8,1,0.000661,0.249368,0.294172,0.27753,0.105907,0.232136,0.617739,0.057156,0.933522,1.63352,2883872,24016,0
rlnc16,8,10,random,1,102,online,1,8,8,1,0.000661,0.249368,0.294172,0.27753,0.105907,0.232136,0.617739,0.057156,0.933522,7.93352,2883872,24016,0
rlnc16,8,10,random,1,102,online_eager,0,8,8,1,0.000661,0.249368,0.294172,0.278611,0.168108,2e-05,0.621726,0,1.06846,1.06846,2883872,24016,0
rlnc16,8,10,random,1,102,online_eager,0.1,8,8,1,0.000661,0.249368,0.294172,0.278611,0.168108,2e-05,0.621726,0.134214,0.690575,1.39058,2883872,24016,0
rlnc16,8,10,random,1,102,online_eager,1,8,8,1,0.000661,0.249368,0.294172,0.278611,0.168108,2e-05,0.621726,0.134214,0.690575,7.69057,2883872,24016,0
rlnc16,8,10,random,1,103,batch,0,8,8,1,0.000681,0.258706,0.294402,0.280446,0.208471,0.243377,0.61857,0,1.35086,1.35086,2883872,24016,0
rlnc16,8,10,random,1,103,batch,0.1,8,8,1,0.000681,0.258706,0.294402,0.280446,0.208471,0.243377,0.61857,0,1.10645,1.80645,2883872,24016,0
rlnc16,8,10,random,1,103,batch,1,8,8,1,0.000681,0.258706,0.294402,0.280446,0.208471,0.243377,0.61857,0,1.10645,8.10645,2883872,24016,0
rlnc16,8,10,random,1,103,online,0,8,8,1,0.000681,0.258706,0.294402,0.280446,0.208471,0.243377,0.61857,0,1.35086,1.35086,2883872,24016,0
rlnc16,8,10,random,1,103,online,0.1,8,8,1,0.000681,0.258706,0.294402,0.280446,0.208471,0.243377,0.61857,0.092674,1.01377,1.71377,2883872,24016,0
rlnc16,8,10,random,1,103,online,1,8,8,1,0.000681,0.258706,0.294402,0.280446,0.208471,0.243377,0.61857,0.092674,1.01377,8.01377,2883872,24016,0
rlnc16,8,10,random,1,103,online_eager,0,8,8,1,0.000681,0.258706,0.294402,0.280645,0.295315,2e-05,0.618951,0,1.19493,1.19493,2883872,24016,0
rlnc16,8,10,random,1,103,online_eager,0.1,8,8,1,0.000681,0.258706,0.294402,0.280645,0.295315,2e-05,0.618951,0.247505,0.703279,1.40328,2883872,24016,0
rlnc16,8,10,random,1,103,online_eager,1,8,8,1,0.000681,0.258706,0.294402,0.280645,0.295315,2e-05,0.618951,0.247505,0.703279,7.70328,2883872,24016,0
